cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,nb_risque,lib_com,classe_ris
01399,Ségny,60.0,Mouvement de Terrain,1983-05-01 00:00:00,1983-05-31 00:00:00,1,Ségny,1
01426,Val-Revermont,60.0,Mouvement de Terrain,1983-05-01 00:00:00,1983-05-31 00:00:00,1,Val-Revermont,1
01430,Varambon,60.0,Mouvement de Terrain,1983-05-01 00:00:00,1983-05-31 00:00:00,1,Varambon,1
01434,Versailleux,60.0,Mouvement de Terrain,1983-05-01 00:00:00,1983-05-31 00:00:00,1,Versailleux,1
01449,Villette-sur-Ain,60.0,Mouvement de Terrain,2021-05-10 00:00:00,2021-05-16 00:00:00,1,Villette-sur-Ain,1
01450,Villieu-Loyes-Mollon,60.0,Mouvement de Terrain,1983-05-01 00:00:00,1983-05-31 00:00:00,1,Villieu-Loyes-Mollon,1
01451,Viriat,60.0,Mouvement de Terrain,1983-05-01 00:00:00,1983-05-31 00:00:00,1,Viriat,1
02001,Abbécourt,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Abbécourt,1
02002,Achery,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Achery,1
02003,Acy,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Acy,1
02004,Agnicourt-et-Séchelles,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Agnicourt-et-Séchelles,1
02005,Aguilcourt,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Aguilcourt,1
02006,Aisonville-et-Bernoville,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Aisonville-et-Bernoville,1
02007,Aizelles,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Aizelles,1
02008,Aizy-Jouy,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02009,Alaincourt,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Alaincourt,1
02010,Allemant,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02011,Ambleny,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Ambleny,1
02012,Ambrief,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02013,Amifontaine,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02014,Amigny-Rouy,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Amigny-Rouy,1
02015,Ancienville,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02016,Andelain,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Andelain,1
02017,Anguilcourt-le-Sart,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Anguilcourt-le-Sart,1
02018,Anizy-le-Grand,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02019,Annois,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02020,Any-Martin-Rieux,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Any-Martin-Rieux,1
02021,Archon,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02022,Arcy-Sainte-Restitue,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02023,Armentières-sur-Ourcq,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02024,Arrancy,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02025,Artemps,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Artemps,1
02027,Assis-sur-Serre,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Assis-sur-Serre,1
02028,Athies-sous-Laon,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02029,Attilly,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02030,Aubencheul-aux-Bois,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Aubencheul-aux-Bois,1
02031,Aubenton,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Aubenton,1
02032,Aubigny-aux-Kaisnes,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02033,Aubigny-en-Laonnois,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Aubigny-en-Laonnois,1
02034,Audignicourt,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02035,Audigny,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02036,Augy,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Augy,1
02037,Aulnois-sous-Laon,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02038,Les Autels,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02039,Autremencourt,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02040,Autreppes,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,2,Autreppes,2
02040,Autreppes,60.0,Mouvement de Terrain,1984-11-22 00:00:00,1984-11-24 00:00:00,2,Autreppes,2
02041,Autreville,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Autreville,1
02042,Azy-sur-Marne,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Azy-sur-Marne,1
02043,Bagneux,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02044,Bancigny,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02046,Barenton-Bugny,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02047,Barenton-Cel,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02048,Barenton-sur-Serre,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02049,Barisis-aux-Bois,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Barisis-aux-Bois,1
02050,Barzy-en-Thiérache,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Barzy-en-Thiérache,1
02051,Barzy-sur-Marne,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Barzy-sur-Marne,1
02052,Bassoles-Aulers,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02053,Vallées en Champagne,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Vallées en Champagne,1
02054,Bazoches-sur-Vesles,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02055,Beaumé,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Beaumé,1
02056,Beaumont-en-Beine,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02057,Beaurevoir,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Beaurevoir,1
02058,Beaurieux,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Beaurieux,1
02059,Beautor,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Beautor,1
02060,Beauvois-en-Vermandois,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02061,Becquigny,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Becquigny,1
02062,Belleau,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02063,Bellenglise,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Bellenglise,1
02064,Belleu,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Belleu,1
02065,Bellicourt,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Bellicourt,1
