cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,nb_risque,lib_com,classe_ris_inon,classe_ris_mouv,classe_ris_sech,classe_ris_seis,classe_ris_temp
83154,Saint-Antonin-du-Var,54.0,Inondations,2014-01-18 00:00:00,2014-01-19 00:00:00,5.0,Saint-Antonin-du-Var,2,0,0,0,0
84001,Althen-des-Paluds,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,7.0,Althen-des-Paluds,3,0,0,0,0
84002,Ansouis,54.0,Inondations,2015-08-24 00:00:00,2015-08-24 00:00:00,8.0,Ansouis,3,0,0,0,0
84003,Apt,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,21.0,Apt,5,0,0,0,0
84004,Aubignan,54.0,Inondations,2000-06-13 00:00:00,2000-06-13 00:00:00,10.0,Aubignan,4,0,0,0,0
84005,Aurel,54.0,Inondations,1994-01-06 00:00:00,1994-01-12 00:00:00,4.0,Aurel,2,0,0,0,0
84006,Auribeau,54.0,Inondations,1994-01-06 00:00:00,1994-01-12 00:00:00,2.0,Auribeau,1,0,0,0,0
84007,Avignon,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,20.0,Avignon,5,0,0,0,0
84008,Le Barroux,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,4.0,Le Barroux,2,0,0,0,0
84009,La Bastide-des-Jourdans,54.0,Inondations,2019-12-01 00:00:00,2019-12-02 00:00:00,6.0,La Bastide-des-Jourdans,3,0,0,0,0
84010,La Bastidonne,54.0,Inondations,2019-11-30 00:00:00,2019-12-01 00:00:00,4.0,La Bastidonne,2,0,0,0,0
84011,Le Beaucet,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,5.0,Le Beaucet,2,0,0,0,0
84012,Beaumes-de-Venise,54.0,Inondations,2000-06-13 00:00:00,2000-06-13 00:00:00,11.0,Beaumes-de-Venise,4,0,0,0,0
84013,Beaumettes,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,4.0,Beaumettes,2,0,0,0,0
84014,Beaumont-de-Pertuis,54.0,Inondations,2019-11-22 00:00:00,2019-11-23 00:00:00,10.0,Beaumont-de-Pertuis,4,0,0,0,0
84015,Beaumont-du-Ventoux,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,3.0,Beaumont-du-Ventoux,2,0,0,0,0
84016,Bédarrides,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,14.0,Bédarrides,5,0,0,0,0
84017,Bédoin,54.0,Inondations,2001-10-09 00:00:00,2001-10-09 00:00:00,5.0,Bédoin,2,0,0,0,0
84018,Blauvac,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,5.0,Blauvac,2,0,0,0,0
84019,Bollène,54.0,Inondations,1988-10-11 00:00:00,1988-10-12 00:00:00,19.0,Bollène,5,0,0,0,0
84020,Bonnieux,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,18.0,Bonnieux,5,0,0,0,0
84021,Brantes,54.0,Inondations,2003-12-02 00:00:00,2003-12-04 00:00:00,4.0,Brantes,2,0,0,0,0
84022,Buisson,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,6.0,Buisson,3,0,0,0,0
84023,Buoux,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,5.0,Buoux,2,0,0,0,0
84024,Cabrières-d'Aigues,54.0,Inondations,2019-12-01 00:00:00,2019-12-02 00:00:00,4.0,Cabrières-d'Aigues,2,0,0,0,0
84025,Cabrières-d'Avignon,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,4.0,Cabrières-d'Avignon,2,0,0,0,0
84026,Cadenet,54.0,Inondations,2018-08-09 00:00:00,2018-08-09 00:00:00,8.0,Cadenet,3,0,0,0,0
84027,Caderousse,54.0,Inondations,2002-09-08 00:00:00,2002-09-10 00:00:00,9.0,Caderousse,4,0,0,0,0
84028,Cairanne,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,6.0,Cairanne,3,0,0,0,0
84029,Camaret-sur-Aigues,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,5.0,Camaret-sur-Aigues,2,0,0,0,0
84030,Caromb,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,3.0,Caromb,2,0,0,0,0
84031,Carpentras,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,13.0,Carpentras,5,0,0,0,0
84032,Caseneuve,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,8.0,Caseneuve,3,0,0,0,0
84033,Castellet-en-Luberon,54.0,Inondations,1994-01-06 00:00:00,1994-01-12 00:00:00,2.0,Castellet-en-Luberon,1,0,0,0,0
84034,Caumont-sur-Durance,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,8.0,Caumont-sur-Durance,3,0,0,0,0
84035,Cavaillon,54.0,Inondations,2000-09-19 00:00:00,2000-09-20 00:00:00,13.0,Cavaillon,5,0,0,0,0
84036,Châteauneuf-de-Gadagne,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,7.0,Châteauneuf-de-Gadagne,3,0,0,0,0
84037,Châteauneuf-du-Pape,54.0,Inondations,2002-09-08 00:00:00,2002-09-10 00:00:00,9.0,Châteauneuf-du-Pape,4,0,0,0,0
84038,Cheval-Blanc,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,8.0,Cheval-Blanc,3,0,0,0,0
84039,Courthézon,54.0,Inondations,2002-09-08 00:00:00,2002-09-10 00:00:00,6.0,Courthézon,3,0,0,0,0
84040,Crestet,54.0,Inondations,1992-09-21 00:00:00,1992-09-23 00:00:00,2.0,Crestet,1,0,0,0,0
84041,Crillon-le-Brave,54.0,Inondations,2002-09-09 00:00:00,2002-09-10 00:00:00,6.0,Crillon-le-Brave,3,0,0,0,0
84042,Cucuron,54.0,Inondations,2019-12-01 00:00:00,2019-12-01 00:00:00,3.0,Cucuron,2,0,0,0,0
84043,Entraigues-sur-la-Sorgue,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,10.0,Entraigues-sur-la-Sorgue,4,0,0,0,0
84044,Entrechaux,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,4.0,Entrechaux,2,0,0,0,0
84045,Faucon,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,5.0,Faucon,2,0,0,0,0
84046,Flassan,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,3.0,Flassan,2,0,0,0,0
