return_mean_surge_level_counts,station_y_coordinate,station_x_coordinate
1,34.827,24.089
1,34.871,24.089
1,35.369,26.902
1,35.398,26.887
1,35.427,26.96
1,35.427,27.019
1,35.383,26.946
0,35.5,12.576
0,35.5,12.62
1,35.618,23.782
1,35.544,23.811
1,35.53,23.899
1,35.53,23.987
1,35.574,24.075
1,35.588,24.148
1,35.53,24.207
1,35.457,24.25
1,35.369,24.294
1,35.369,24.382
1,35.369,24.47
1,35.383,24.558
1,35.413,24.646
1,35.427,24.734
1,35.413,24.822
1,35.427,24.91
1,35.413,24.998
1,35.376,25.071
1,35.354,25.159
1,35.339,25.247
1,35.339,25.334
1,35.31,25.422
1,35.31,25.496
1,35.325,25.583
1,35.339,25.671
1,35.325,25.759
1,35.251,25.745
1,35.164,25.73
1,35.134,25.818
1,35.178,25.891
1,35.193,25.979
1,35.237,26.067
1,35.208,26.155
1,35.251,26.213
1,35.31,26.301
1,35.237,26.287
1,35.164,26.301
1,35.076,26.272
1,35.017,26.199
1,35.002,26.125
1,35.017,26.038
1,35.032,25.95
1,35.017,25.862
1,35.002,25.759
1,35.017,25.671
1,35.002,25.583
1,34.988,25.496
1,34.988,25.408
1,34.988,25.32
1,34.958,25.232
1,34.944,25.144
1,34.944,25.056
1,34.929,24.968
1,34.929,24.88
0,34.929,24.778
0,34.988,24.749
1,35.076,24.734
0,35.09,24.646
1,35.12,24.558
1,35.149,24.485
1,35.178,24.397
1,35.178,24.309
1,35.193,24.221
1,35.193,24.133
1,35.193,24.031
1,35.222,23.958
1,35.237,23.87
1,35.237,23.782
1,35.237,23.694
1,35.237,23.591
1,35.295,23.533
1,35.383,23.533
1,35.471,23.562
1,35.559,23.577
1,35.61,23.633
1,35.647,23.708
1,35.662,23.782
2,35.383,34.094
2,35.31,34.036
3,35.295,33.948
3,35.222,33.918
2,35.149,33.933
2,35.076,33.992
2,35.017,34.065
3,34.965,34.062
2,34.988,33.962
2,34.958,33.889
2,34.958,33.801
2,34.973,33.713
2,34.915,33.64
2,34.841,33.625
2,34.797,33.538
2,34.768,33.45
2,34.724,33.376
2,34.709,33.289
2,34.695,33.201
2,34.695,33.098
2,34.651,33.025
2,34.578,33.01
2,34.592,32.922
2,34.666,32.878
2,34.666,32.791
2,34.636,32.703
2,34.666,32.615
2,34.695,32.527
2,34.724,32.454
2,34.783,32.395
2,34.856,32.351
2,34.944,32.307
2,35.032,32.292
2,35.076,32.307
2,35.046,32.395
2,35.076,32.468
2,35.149,32.527
2,35.178,32.6
2,35.178,32.703
2,35.164,32.791
2,35.164,32.864
2,35.237,32.922
2,35.325,32.937
2,35.383,32.952
2,35.369,33.04
2,35.369,33.127
2,35.354,33.215
2,35.339,33.303
2,35.339,33.391
2,35.339,33.479
2,35.354,33.582
2,35.369,33.669
2,35.398,33.743
2,35.413,33.831
2,35.427,33.918
2,35.457,34.006
2,35.5,34.094
2,35.544,34.167
2,35.574,34.255
2,35.588,34.329
2,35.632,34.417
2,35.662,34.504
2,35.676,34.578
2,35.618,34.519
2,35.588,34.446
2,35.53,34.373
2,35.486,34.285
2,35.442,34.211
1,35.427,27.166
1,35.442,27.092
1,35.5,27.107
1,35.574,27.078
1,35.647,27.107
1,35.72,27.151
1,35.808,27.18
1,35.779,27.224
1,35.691,27.195
1,35.618,27.18
1,35.53,27.224
1,35.457,27.195
0,35.837,23.328
0,35.896,23.284
0,35.808,14.509
0,35.823,14.421
0,35.881,14.348
0,35.969,14.319
0,36.013,14.246
0,36.057,14.202
0,36.072,14.29
0,36.013,14.363
0,35.969,14.436
0,35.925,14.509
0,35.852,14.553
0,36.218,27.605
0,36.233,27.546
0,36.145,22.961
0,36.233,22.917
0,36.321,22.903
0,36.365,22.947
0,36.306,23.02
0,36.262,23.093
0,36.189,23.049
1,36.35,25.803
1,36.394,25.759
1,36.365,25.847
1,35.896,27.795
1,35.955,27.722
0,36.042,27.751
0,36.116,27.708
0,36.189,27.722
0,36.248,27.781
0,36.292,27.854
0,36.35,27.927
0,36.379,28.015
0,36.409,28.088
1,36.438,28.176
0,36.409,28.235
0,36.335,28.206
0,36.248,28.162
0,36.174,28.118
0,36.101,28.088
0,36.072,28.03
0,36.028,27.942
1,35.969,27.883
1,36.35,25.481
1,36.35,25.393
1,36.394,25.408
1,36.467,25.378
1,36.438,25.466
1,36.394,27.356
1,36.453,27.297
0,36.467,27.356
0,36.409,27.429
1,36.57,27.136
1,36.599,27.195
1,36.526,26.301
1,36.599,26.272
1,36.636,26.347
1,36.614,26.433
1,36.57,26.404
1,36.614,24.954
1,36.628,24.866
0,36.628,24.91
1,36.643,25.1
0,36.702,25.115
1,36.716,25.21
1,36.672,25.144
0,36.658,25.334
0,36.716,25.261
1,36.775,25.291
0,36.76,25.386
0,36.746,12.034
0,36.804,12.034
0,36.76,24.661
1,36.731,24.558
1,36.672,24.5
1,36.658,24.412
0,36.658,24.324
0,36.731,24.338
0,36.76,24.412
0,36.775,24.5
1,36.848,24.558
0,36.812,24.631
0,36.892,25.613
0,36.775,25.789
1,36.804,25.774
0,36.848,25.847
0,36.892,25.935
0,36.936,26.008
1,36.892,26.052
1,36.863,25.964
1,36.804,25.891
1,36.775,25.818
1,36.921,24.719
0,36.995,24.661
0,37.046,24.69
0,36.965,24.749
0,37.126,25.789
1,36.921,26.96
0,36.98,26.917
0,37.068,26.887
0,37.112,26.829
0,37.185,26.814
0,37.156,26.873
0,37.083,26.917
0,37.039,27.004
1,36.965,27.048
0,37.141,25.583
0,37.053,25.598
0,36.98,25.554
0,36.907,25.51
0,36.833,25.466
0,36.892,25.452
0,36.965,25.408
0,37.039,25.364
0,37.039,25.276
0,36.995,25.203
0,36.98,25.115
0,36.965,25.056
0,37.053,25.085
0,37.112,25.144
0,37.141,25.232
