return_mean_surge_level_counts,station_y_coordinate,station_x_coordinate
1,34.827,24.089000000000002
1,34.871,24.089000000000002
1,35.369,26.901999999999997
1,35.398,26.886999999999997
1,35.427,26.96
1,35.427,27.019000000000002
1,35.383,26.945999999999998
0,35.5,12.575999999999999
0,35.5,12.62
1,35.618,23.781999999999996
1,35.544000000000004,23.811
1,35.53,23.899
1,35.53,23.987
1,35.574,24.075
1,35.588,24.148000000000003
1,35.53,24.206999999999997
1,35.457,24.25
1,35.369,24.294
1,35.369,24.381999999999998
1,35.369,24.47
1,35.383,24.558000000000003
1,35.413000000000004,24.646
1,35.427,24.734
1,35.413000000000004,24.822
1,35.427,24.91
1,35.413000000000004,24.998
1,35.376,25.070999999999998
1,35.354,25.159000000000002
1,35.339,25.247
1,35.339,25.334
1,35.31,25.421999999999997
1,35.31,25.496
1,35.325,25.583000000000002
1,35.339,25.671
1,35.325,25.759
1,35.251,25.745
1,35.164,25.73
0,35.134,25.818
1,35.178000000000004,25.891
1,35.193000000000005,25.979
1,35.236999999999995,26.066999999999997
1,35.208,26.155
1,35.251,26.213
1,35.31,26.301
1,35.236999999999995,26.287
1,35.164,26.301
1,35.076,26.272
1,35.016999999999996,26.199
1,35.001999999999995,26.125
1,35.016999999999996,26.038
1,35.032,25.95
1,35.016999999999996,25.862
1,35.001999999999995,25.759
1,35.016999999999996,25.671
1,35.001999999999995,25.583000000000002
1,34.988,25.496
1,34.988,25.408
1,34.988,25.32
1,34.958,25.232
1,34.944,25.144000000000002
1,34.944,25.055999999999997
1,34.929,24.968000000000004
1,34.929,24.88
0,34.929,24.778000000000002
0,34.988,24.749000000000002
0,35.076,24.734
0,35.09,24.646
1,35.12,24.558000000000003
1,35.149,24.485
1,35.178000000000004,24.397
1,35.178000000000004,24.309
1,35.193000000000005,24.221
1,35.193000000000005,24.133000000000003
1,35.193000000000005,24.031
1,35.222,23.958000000000002
1,35.236999999999995,23.87
1,35.236999999999995,23.781999999999996
1,35.236999999999995,23.694000000000003
1,35.236999999999995,23.590999999999998
1,35.295,23.533
1,35.383,23.533
1,35.471,23.561999999999998
1,35.559,23.576999999999998
1,35.61,23.633000000000003
1,35.647,23.708000000000002
1,35.662,23.781999999999996
3,35.383,34.094
3,35.31,34.036
3,35.295,33.948
3,35.222,33.918
3,35.149,33.933
2,35.076,33.992
3,35.016999999999996,34.065
3,34.965,34.062
3,34.988,33.961999999999996
3,34.958,33.889
3,34.958,33.801
3,34.973,33.713
2,34.915,33.64
3,34.841,33.625
3,34.797,33.538000000000004
3,34.768,33.45
3,34.724000000000004,33.376
2,34.709,33.289
2,34.695,33.201
2,34.695,33.098
2,34.650999999999996,33.025
2,34.578,33.01
2,34.592,32.922
2,34.666,32.878
2,34.666,32.791
2,34.635999999999996,32.703
2,34.666,32.615
2,34.695,32.527
2,34.724000000000004,32.454
2,34.783,32.395
2,34.856,32.351
2,34.944,32.306999999999995
2,35.032,32.292
2,35.076,32.306999999999995
2,35.046,32.395
3,35.076,32.468
2,35.149,32.527
3,35.178000000000004,32.6
3,35.178000000000004,32.703
2,35.164,32.791
2,35.164,32.864000000000004
3,35.236999999999995,32.922
3,35.325,32.937
3,35.383,32.952
3,35.369,33.04
3,35.369,33.126999999999995
3,35.354,33.215
3,35.339,33.303000000000004
3,35.339,33.391
3,35.339,33.479
3,35.354,33.582
2,35.369,33.669000000000004
2,35.398,33.743
2,35.413000000000004,33.830999999999996
2,35.427,33.918
2,35.457,34.006
2,35.5,34.094
2,35.544000000000004,34.167
2,35.574,34.255
2,35.588,34.329
2,35.632,34.417
2,35.662,34.504
2,35.676,34.578
2,35.618,34.519
3,35.588,34.446
3,35.53,34.373000000000005
2,35.486,34.285
2,35.442,34.211
1,35.427,27.166
1,35.442,27.092
1,35.5,27.107
1,35.574,27.078000000000003
1,35.647,27.107
1,35.72,27.151
0,35.808,27.18
0,35.779,27.224
0,35.691,27.195
1,35.618,27.18
1,35.53,27.224
1,35.457,27.195
0,35.836999999999996,23.328000000000003
0,35.896,23.284000000000002
0,35.808,14.509
0,35.823,14.421
0,35.881,14.347999999999999
0,35.969,14.319
0,36.013000000000005,14.245999999999999
0,36.056999999999995,14.202
0,36.071999999999996,14.29
0,36.013000000000005,14.363
0,35.969,14.436
0,35.925,14.509
0,35.852,14.552999999999999
0,36.218,27.605
0,36.233000000000004,27.546
0,36.145,22.961
0,36.233000000000004,22.916999999999998
0,36.321,22.903000000000002
0,36.365,22.947
0,36.306,23.02
0,36.262,23.093000000000004
0,36.189,23.049
1,36.35,25.803
0,36.394,25.759
0,36.365,25.846999999999998
1,35.896,27.795
0,35.955,27.721999999999998
0,36.042,27.750999999999998
0,36.116,27.708000000000002
0,36.189,27.721999999999998
0,36.248000000000005,27.781
0,36.292,27.854
0,36.35,27.927
0,36.379,28.015
0,36.409,28.088
0,36.438,28.176
0,36.409,28.235
0,36.335,28.206
0,36.248000000000005,28.162
0,36.174,28.118000000000002
0,36.101,28.088
0,36.071999999999996,28.03
0,36.028,27.941999999999997
0,35.969,27.883000000000003
1,36.35,25.480999999999998
1,36.35,25.393
1,36.394,25.408
1,36.467,25.378
1,36.438,25.465999999999998
0,36.394,27.355999999999998
0,36.453,27.296999999999997
0,36.467,27.355999999999998
0,36.409,27.429000000000002
0,36.57,27.136
0,36.599000000000004,27.195
1,36.525999999999996,26.301
1,36.599000000000004,26.272
1,36.635999999999996,26.346999999999998
1,36.614000000000004,26.433000000000003
1,36.57,26.404
0,36.614000000000004,24.954
1,36.628,24.866
0,36.628,24.91
1,36.643,25.1
0,36.702,25.115
0,36.716,25.21
1,36.672,25.144000000000002
0,36.658,25.334
0,36.716,25.261
1,36.775,25.291
0,36.76,25.386
0,36.746,12.034
0,36.804,12.034
0,36.76,24.660999999999998
0,36.731,24.558000000000003
1,36.672,24.5
1,36.658,24.412
0,36.658,24.324
0,36.731,24.338
0,36.76,24.412
0,36.775,24.5
0,36.848,24.558000000000003
0,36.812,24.631
0,36.891999999999996,25.613000000000003
0,36.775,25.789
1,36.804,25.774
0,36.848,25.846999999999998
